id,longitude,latitude,name
node/416858116,13.5173903,52.6492501,Kaffee-Haus Madlen
node/416858347,13.0916975,52.2186833,Cafe zum Kirschbaum
node/417237675,13.4651593,52.4931928,Hafengarten
node/420646832,13.131179,52.3932775,Ulf's Café im HPI
node/427585633,13.9708182,52.862523,Rosencafe & Pension Herbst
node/427736040,13.2910267,52.4974245,Eiscafé Eisgrün
node/427932030,13.3245364,52.5114759,Café Planwirtschaft
node/427971747,12.7358379,52.3128069,Eiscafe Schmidtke
node/428052632,13.6092669,52.3147952,Milano
node/428053788,13.6076345,52.3149428,Coffee Mile
node/428114285,13.315569,52.4473524,Eiscafé Falsone
node/429735606,13.3968878,52.5272029,Spoonful
node/430043457,13.3966855,52.3765712,Cafe Rosengarten
node/430245385,13.4691572,52.1418571,Café im Walde
node/430866196,12.9732767,52.3628037,Gelateria il Sol
node/431258771,13.4897579,52.6174691,Siebert’s Back & Café
node/432486560,13.3270868,52.5220903,Endlich Mittag
node/432527532,13.6251238,52.299173,Zuckerbäckerei
node/434481239,13.4570289,52.5930118,Kaffeehaus Blankenburg
node/434563600,13.0921318,52.3927973,Janny's Eis
node/434565581,13.615483,52.3725489,Marios Eiscafé
node/437194563,13.4102575,52.5190506,Blixen
node/437320468,13.3869064,52.5171785,Segafredo
node/438156127,13.3258091,52.514519,Café Shila
node/440012483,13.4295135,52.5006491,Eve&cat
node/440923198,13.3936722,52.5124847,Einstein Kaffee
node/441322911,13.2825038,52.6660554,Kaffeehaus Morgenrot
node/441324651,13.2853798,52.669743,Kunst und Filterkaffee
node/441719528,13.0119751,52.400248,Cafeteria Am Neuen Palais
node/441878995,13.4429525,52.4706565,Café Kent
node/442392124,13.3849151,52.4484477,Makara
node/442534063,13.2783362,52.4488357,Rotes Café
node/443129170,13.4317552,52.4662556,Silber Cafe Bar
node/443670022,13.2426825,52.2503257,Eiscafe Thyrow
node/443674211,13.2146898,52.4390629,Café Schlacht
node/443728425,13.2068219,52.5380486,Eiscafé Millefiori
node/445183166,14.0735407,52.5670401,Eiskörbchen
node/445183631,14.0739761,52.568201,Café am Markt
node/447436526,13.3234413,52.5232961,Cafeteria im PTZ
node/447904739,13.2137084,52.4398995,Seestern
node/447943397,13.0524106,52.4011732,Havelbohne
node/448081472,13.1932594,52.5241735,Café Barfly
node/454233920,13.4117702,52.568063,BoBaLism
node/454257347,13.439611,52.4841453,Venue
node/454379327,13.9586031,52.8047528,Cafe und Eis
node/457947786,13.0368498,52.3940761,LOKAL
node/459668815,13.4090296,52.5713907,Café Rosenrot
node/459672233,13.4043582,52.5819179,Eis-Cafe Kubitza
node/459673806,13.4034581,52.5834832,Johns
node/462195978,13.491178,52.732707,Kurcafé
node/462667753,13.3219704,52.4571248,Espresso House
node/467129701,13.9587186,52.2676517,Café Düne
node/469111835,14.1150012,52.5665887,"Waldcafé ""Drei Eichen"""
node/469201752,13.4147236,52.5717507,Café Impuls
node/470319909,13.2462072,52.5619796,Seeblick
node/470606875,13.0486539,52.4021099,Café Kieselstein
node/473066926,13.3053628,52.4175822,Dolce Vita
node/474799087,13.4396823,52.4770501,Café Rix
node/475979250,13.600995900000001,52.6875719,Tafel-Cafè
node/476258826,13.4455331,52.4792298,Cafe Tribune
node/476810292,13.4104738,52.5504144,Cafe Sgaminegg
node/477430712,13.3038598,52.4265984,Enjoy
node/486517824,13.5246833,52.4553114,Coffeebar
node/489761194,13.3737245,52.5176023,Berlin Pavillon am Reichstag
node/490260434,13.0510555,52.413357,Cafeteria
node/491566232,13.2850956,52.5063206,Pianocafé am Lietzensee
node/493655311,13.4088525,52.5375349,Café Morgenrot
node/495479053,13.2775579,52.827012,Restaurant Wenzel
node/499274751,13.464876199999999,52.5163204,Tapiocaria
node/499500765,13.4618241,52.5168592,Elysium Kaffeehaus
node/505944632,13.3820141,52.493531,Mr. Minsch
node/506265961,13.6779672,52.5227444,Viticula
node/506267615,13.6728029,52.5217818,Café Auszeit
node/506275774,13.6979165,52.5214748,Janny's Eis
node/508657352,13.2849445,52.5880587,Waffle Brothers
node/509405055,13.4952827,52.5139107,Cafeteria
node/514483770,13.2184918,52.4097245,La Vita
node/514753672,13.2200016,52.4105387,Medoc
node/515879722,13.423336,52.4799669,Café Kent 3
node/520048684,13.4206554,52.5421007,Café Liebling
node/530557759,13.2604007,52.5015112,Bistro Waldschulallee
node/530715885,13.3574263,52.5419608,Göttlich essen & trinken
node/531305449,13.3822317,52.5162817,Café Lebensart
node/531795198,13.3937554,52.5261737,Cafe Buchhandlung
node/533621382,13.2970697,52.5015049,Magnifique
node/534572922,13.2985642,52.4856082,Maries Cuisine
node/536668241,13.5263792,52.456224399999996,WaschBar mit Stephanus-Shop
node/539466865,13.2242449,52.575032,Zur Sonne
node/541077710,13.4172239,52.5405112,Lorch & Söhne
node/544752150,13.4824127,52.5032686,Nadia + Kosta
node/549227499,13.500134599999999,52.5482581,Café Zwerg
node/549227520,13.5009843,52.5487278,K3 Lounge
node/550408206,13.3633758,52.5434493,Raz
node/559983461,13.2991984,52.5048357,Cafe Dollinger
node/560526925,13.4154754,52.5479554,Caffè Monelli
node/564686130,13.2866935,52.5859108,Coffee Fellows
node/568525725,13.307921499999999,52.50166,Frau Behrens Torten
node/569992089,13.2674353,52.483723,Wiener Conditorei am Hagenplatz
node/570034727,13.3304701,52.4518101,Konditorei Rabien
node/573381064,13.4688574,52.5113992,Peggy Bee
node/575741952,13.4709336,52.415518,Casino am Zwickauer Damm
node/581887067,13.1935989,52.4306229,Cafe & Eis
node/582747040,13.412804,52.5313153,Café Bar Chagall
node/586536404,13.3995765,52.3865171,Eiscafé Moin Moin
node/597413602,13.406129,52.536158,Friendly Society Berlin (Kulturkaufhaus)
node/601060497,13.5026966,52.6365888,Alt-Buch
node/603798038,13.2045554,52.5368723,Konditorei Fester
node/607756448,13.3753652,52.5401534,Cafe Desd
node/609005537,13.2323477,52.4374617,Bahnhofsklause
node/611031859,13.4026797,52.5311012,Galão A Pastelaria
node/613536371,13.3217679,52.5208955,Backhaus Helmholtz
node/614502665,13.3223481,52.5234417,lunch+more
node/615147093,13.4022118,52.5241937,Röststätte
node/616297349,13.3056216,52.5094249,Cafe Extrablatt
node/616526854,13.3936976,52.6192673,Steckenpferd
node/617262898,13.3098133,52.5077347,Eis Michel
node/617342493,13.2968487,52.5006544,Was Gesundes
node/617422429,13.049589,52.4006218,Genna d'Oro - das Goldschmiedecafé
node/618021341,13.4672874,52.468267,Kösk Frühstück & Café
node/618571207,13.2806343,52.4471029,Coffeebar FU Wirtschaftswissenschaften
node/618993715,13.322867,52.5108514,brot&butter
node/619253447,13.0515633,52.4000648,Café Alice
node/621274121,13.3817861,52.4541235,Rudi & Rosa
node/622136256,13.4560369,52.4902199,Twins Catering
node/622481673,13.4180647,52.5422898,Das Spielzimmer
node/623299186,13.3973584,52.5359288,la Caffèteria
node/625825497,13.5389587,52.6559329,Eisdiele
node/626328553,13.3990512,52.5077517,Cafe brennBar
node/626374681,13.3863271,52.5499124,BAK Breakfast House
node/627105786,13.385714,52.552762799999996,Cafe Star
node/629369805,13.3070218,52.5048153,Impala Coffee
node/635820523,13.3255962,52.4616728,Sandwich Art
node/635871464,13.478308,52.5154958,Cooquin Cafe
node/636094595,13.0490194,52.3996066,Bäckerei & Café Steinecke
node/637834348,13.5828604,52.4552464,Cafe/Haus der Jugend Köpenick
node/638214074,13.4214006,52.5356286,Coffee Star
node/639281322,13.5296167,52.4322931,Studentisches Begegnungszentrum Motorenprüfstand
node/643056998,13.5382721,52.528159,Lara Beach
node/643494404,13.3914822,52.5540116,Dilekerei
node/644618647,13.538245,52.528282,Bica Billard & Café
node/647907957,13.4944202,52.5029418,Kleines Cafe
node/648207426,13.4984136,52.5099198,Vinacafe Tin Tin
node/648259073,13.2114308,52.50954,Captain's Inn am Stößensee
node/651452392,13.3261805,52.5119621,Coffeebar Wetterleuchten
node/651988273,13.0523,52.4000197,No. 15 Café-Restaurant
node/652613363,12.6045344,52.1383647,Spielcafé
node/652613391,12.5898752,52.1467393,Haus am See
node/654401099,13.4541003,52.5104455,Spielwiese Berlin
node/655146770,13.4852364,52.5122546,Beck's Bäckerei & Bistro
node/658617876,13.433447,52.4723377,Pee Pees Katzencafé
node/660502479,13.3007369,52.5013335,Tines Hausgemachtes
node/661126955,13.3053868,52.5135018,Exclusive Coffee
node/661126968,13.3045991,52.5153002,Schlesische Backstube Hutzelmann
node/662869978,13.2818428,52.4777628,Wiener Conditorei Caffeehaus
node/663434368,14.0632588,52.2922857,Dreißig
node/663434375,14.0629339,52.2917231,Kaffee-Rösterei
node/664244050,13.2922386,52.4745349,Oase
node/666388873,13.301475,52.4886406,Tillmann
node/667211344,13.2686117,52.5113062,Café Thiel
node/667211368,13.2604129,52.5159551,Wiener Caffeehaus
node/667211390,13.2622288,52.5157916,Café Kuhn
node/667890052,13.4623755,52.5147577,Die Garbe
node/667893376,13.4084608,52.5376459,The Kafé
node/668246088,13.252357,52.4497919,Toms Kaffeerösterei
node/668953779,13.3932506,52.4893414,Coffee Cult
node/668954190,13.392622,52.4894164,Jederzeit
node/670658006,13.3520052,52.4804592,Hak Bakery & Breakfasthouse
node/672817185,13.7875404,52.8363034,Brotmeisterei Steinecke
node/675503721,13.3025247,52.6000299,Eiscafé Angelina
node/676633343,13.4073495,52.5392474,Kauf dich glücklich
node/676826545,13.4024016,52.5308057,Chef's
node/676897955,13.261466,52.4362387,Café Lebensart
node/676902828,13.4248903,52.534791,Prenzelkasper
node/677826168,13.413655,52.5590025,Café La Vineta
node/678901089,13.2927463,52.4578859,Kornfeld
node/679671722,13.2306314,52.6082586,Café Feldblick
node/681671395,13.4485823,52.5120748,Cafe Sociale
node/687075341,13.4892499,52.5124608,U-Back
node/687379515,13.6402286,52.3665166,Cafe Schulz
node/687589952,13.4965188,52.4172718,Die EIS Diele
node/691415170,13.4373022,52.7170673,Café Petticoat
node/691484585,13.3251231,52.4554826,Café le Paris
node/693647666,12.7378223,52.3196736,Markt Café Lehnin
node/693892088,13.3208736,52.5029931,einhorn
node/695831701,13.2959074,52.4974558,Tre Terre
node/699851948,13.3246763,52.491494,Café Steinecke
node/699851950,13.3252965,52.4914278,Happiness-Heart Café
node/700761160,13.4115903,52.5401,An einem Sonntag im August
node/703501026,13.4126746,52.5430245,Jute Bäckerei
node/703607113,13.3749562,52.5480242,Cafe Adam
node/704913843,13.3409245,52.4884134,Bella Italia
node/705140939,13.2808589,52.6699998,Il Pistacchio
node/707417295,13.3691344,52.5450226,Oeuf
node/707490376,13.3821838,52.552202,Eis Boutique
node/715911570,13.2939052,52.5051348,Café Phoenix
node/715911667,13.2977888,52.5099653,Caffé e Panini
node/718143748,13.294257,52.5062211,Reporter
node/718143769,13.2943986,52.5066267,Yaz up
node/718143866,13.2582731,52.5078666,Adiks Stehcafé
node/718143873,13.2941973,52.5061448,Suarez Café
node/718143894,13.3027278,52.4996474,Kids Planet
node/718143924,13.3009439,52.5002493,Velvet Leaf
node/721522044,13.4199291,52.5353847,Manufacture Delicate
node/721907907,13.3661533,52.5843498,Sindbad
node/725941837,13.2927651,52.5181274,Café Reet
node/726126783,13.3147718,52.4740598,R3 Coffee Lounge
node/727851984,13.3606762,52.4865603,ess eins
node/727852043,13.3541633,52.4945858,Winterfeldt Schokoladen
node/728708454,13.3377772,52.5238158,Fiaker
node/729587083,13.3821694,52.5517673,Lezziz
node/730172932,13.3640563,52.4971132,Stehcafé 72
node/734960871,13.3956763,52.539387,Künefe
node/737197006,13.4783092,52.5268357,Kaffee-Haus Madlen
node/738253424,13.7791367,52.476472,"Einkehr ""Zum Bergmann"""
node/738604733,13.6453544,52.3482497,Café Heideklause
node/739939511,13.3465325,52.436338,Alpen-Eis
node/742015772,13.4632617,52.4250012,Café Happiness
node/745680952,13.4386477,52.4887871,missismiller
node/745732665,13.431108,52.48772,Ketori
node/746477311,13.4374185,52.4874886,Föllerei
node/747149311,13.4519398,52.5224842,Ambavi
node/747493591,13.3263802,52.4867015,Les Baguettes
node/747493608,13.3338592,52.4905325,Merenda Snacks & Spezialitäten aus Italien
node/747528357,13.401993,52.587098,Café maximal
node/750621200,13.4015537,52.5803653,Blauer Stern
node/752878303,13.4545851,52.4727222,Geschwister Nothaft
node/752903324,13.4510678,52.4719574,Café Dejavu
node/752995885,13.4447944,52.4737502,Gülays Kitchen
node/760002918,13.4432437,52.470691,Tele-Internet-Café
node/760035387,13.3084147,52.4970063,Kindercafé Wunderland
node/766467492,13.3748068,52.508443,The Barn
node/766467493,13.3747024,52.5083593,the coffee shop
node/766742164,13.4095085,52.4904781,Kiez Vegan
node/766875154,13.546032,52.4380015,Eiscafé Venezia
node/768569344,13.3336514,52.5152912,KPM Café
node/769850000,13.3632601,52.5664578,Cafe Irmak
node/771332593,13.3438641,52.5042035,Cafe Belmont
node/771332654,13.4568151,52.5094189,Café de Colombia
node/773342385,13.4192924,52.5405949,Suicide Sue
node/773640803,13.3750816,52.5090499,Panoramacafé
node/774485383,13.4159966,52.5407053,Asmen Feinkost
node/774984760,14.2457276,52.1729422,Stadtcafé Beeskow
node/775342935,13.3215886,52.4585143,Fendricks
node/775342945,13.3227066,52.4586454,Confiserie Reichert
node/775862458,13.3137428,52.5017035,Kant Café
node/775862467,13.3169154,52.503883,Cali Bocca
node/775862481,13.313729,52.503825,Kame
node/775862484,13.3224052,52.5039936,1900
node/776125571,13.3071924,52.5175085,KaraMel's
node/778710960,13.4114208,52.5399494,Kaffee Marlene
node/778710965,13.4103183,52.539385,Eis Bar
node/779033051,13.4062281,52.5057585,masal
node/790502622,13.4201663,52.5341014,Betty'n Caty
node/792057080,13.6095221,52.5360975,Die Kiste
node/793020082,13.3895386,52.5355294,Bistro Grenzfall
node/794213642,13.4175899,52.5018471,Milch & Zucker
node/800128344,13.3386564,52.4629091,Eiscafe Lido
node/800786280,13.468956,52.5126458,Herman Schulz
node/802550080,13.4053802,52.5399974,Bonanza Coffee Heroes
node/809726248,13.4335985,52.4984392,Cafe Isa Mitz
node/809927484,13.399815,52.5230254,Café Neundrei
node/813354337,13.2949936,52.4425443,Berliner Genussmanufaktur
node/814185643,13.5676003,52.5187671,Caféteria
node/820548279,13.2907764,52.5176964,Tee-o-d'or
node/821271943,13.3900606,52.508244,Coffee Fellows
node/823779622,13.4162712,52.5438537,Pakolat
node/823788770,13.2865366,52.4533177,CoffeeCross
node/831021930,14.4185616,52.2457843,Seeblick
node/831416217,13.3533984,52.4902868,Tee Tea Thé
node/832835292,13.3661352,52.5531634,Golden Bäcker & Eis Café
node/833164275,13.3282185,52.4642659,WonderWaffel
node/837695966,13.5355616,52.4331186,Bäckerei Wahl
node/837697399,13.5126469,52.4491175,Pinoli
node/839543566,13.407661300000001,52.5304933,L21
node/840701350,13.2639443,52.7454629,Cafe Rondell
node/849634209,13.4571362,52.5114415,Fatoush
node/849791887,13.4878352,52.5517753,Aquarium Café
node/855341809,13.3622806,52.5521179,Karadeniz Lokali
node/858993575,13.4130892,52.5329269,LPG Bistro
node/861329092,13.300105,52.5211298,Café La Mouche am Schloß Charlottenburg
node/862030918,13.3147167,52.5143243,Café Mediterrane
node/862992897,13.4273449,52.4955306,Fourty Years
node/863057757,13.4101065,52.5208397,Espresso House
node/865291775,13.3293853,52.523655,La Fabrica Food
node/865931269,13.418011,52.499904,Simitdchi
node/866049060,13.418271,52.5016751,luzia
node/867234044,13.4169524,52.5018088,Café Alibi
node/867271475,13.418963,52.5010875,Café Três
node/867497526,13.3308641,52.5273463,Pfau
node/867497537,13.3299052,52.5254463,Eis Rialto
node/867734682,13.4169636,52.5023636,ART en chocolat
node/867751944,13.420052,52.5011789,Smyrna Kuruyemis
node/871641850,13.4172801,52.4996233,Ağrı Efsanesi
node/874274557,13.4181523,52.5001477,Cafe Kotti
node/874353331,13.4145875,52.5026859,ichorya
node/876181984,13.3929727,52.5163595,TIM’s Bakery & Deli
node/876497311,13.4561409,52.5117429,Black Bowl
node/881958859,13.0715093,52.389806,Exner
node/886097100,13.4284928,52.4983654,Café Mori
node/886309568,13.4053992,52.495893,A.Horn
node/894767196,13.3678221,52.4881135,AHA-Berlin e.V.
node/894770295,13.4095286,52.5338915,Donath
node/895721094,13.3393389,52.526835,Bistro Jonas Café
node/895818043,13.0589176,52.4028884,Café Guam
node/898660200,13.3121318,52.3624262,Eiscafe Delizia
node/900404996,13.2011105,52.5059202,Seasidebar
node/904894109,13.4547754,52.5162369,Kaffee & Tee
node/918358352,13.2934752,52.5174904,Q-Masch
node/919491745,13.8093405,52.8384771,Venezia
node/920664308,13.3848148,52.4981816,Ökotussi
node/923413825,13.4416806,52.4794544,Pêle Mêle
node/925237927,13.143137,52.4129931,Aux Delices Normands
node/925524894,13.3378959,52.5044803,leo coffee
node/926945733,13.3295196,52.5271249,Schrippe oder Stulle?
node/929208382,13.3866122,52.5008266,rundum
node/930288682,13.3962769,52.4403717,Park-Café
node/931622739,13.4439166,52.4847439,Zimt & Mehl
node/932342550,13.3227678,52.5100684,Giro Coffee Bar
node/935637567,13.3943553,52.4905777,cuccuma
node/937913621,13.394678,52.5270767,Bravo
node/938054848,13.0584966,52.3993534,Redo Gelato
node/940815668,13.2963918,52.4643933,La Vie
node/941303173,13.0623491,52.4036993,Caffè Paradiso
node/941375461,13.4112178,52.4913067,monsieur ibrahim
node/941475631,13.3479389,52.5408831,Bio-Café Platane des Hippokrates
node/944470505,13.3673047,52.5090594,Café Estrade
node/945649942,13.4174939,52.5349391,Cafe am Wasserturm
node/947978148,13.4084576,52.4895097,C@ll Shop
node/957843302,13.1461951,52.2363163,Kräuterkate Glau
node/959238592,13.408271,52.4887243,Kouskous Café Bar
node/959704845,13.0917481,52.3921356,Kellermann
node/961626565,13.3925097,52.5274648,Kame
node/963961708,13.4216577,52.4873841,Raffiné
node/963961727,13.4227109,52.4870548,Eiscafé Uno
node/970422265,13.3946276,52.4879159,Golightly
node/971891546,13.4725194,52.5164075,QG - Café Français
node/972319931,13.4173278,52.5122954,BackArt
node/974389011,13.4315198,52.5319361,Sech10 - Coffee & Breakfast Club
node/974393040,13.2772492,52.5059555,Messesnack Kleiner Stern
node/975136815,13.3962176,52.5169402,Operncafé
node/975312178,13.4003855,52.522594,Viadukt Bistro
node/975312193,13.4020866,52.5231934,Starbucks
node/975693680,13.4540486,52.5068724,Skatehalle Berlin
node/978979323,13.3962364,52.5316063,Schneiders Schokoladen
node/980767608,13.4425773,52.4721688,Café Vux
node/981448915,13.0579026,52.3998972,Kaiserwetter
node/983602481,13.396443,52.4894641,Italo
node/986405309,13.0576912,52.4034948,Die Espressonisten
node/988995654,13.3976501,52.5461439,Tortenwerkstatt
node/989022916,13.3910986,52.5200624,Pure Origins
node/990057945,12.559159,52.4066026,Eiscafe Venezia
node/992805974,13.3441377,52.4388235,Malibu
node/992806068,13.3273282,52.4297578,Cafe Rosenduft
node/993801825,13.4098243,52.5383221,Barista
node/994711625,13.386533,52.509983,Das Kaffeehaus
node/997194050,13.4236412,52.490974,La Femme
node/1006711174,13.2951499,52.437981,Frau Lüske
node/1011764416,13.3020578,52.5065755,Limone
node/1014797816,13.4260274,52.492581799999996,Saarbach
node/1022988899,14.4716357,52.2969895,Markendorfer Eisgarten
node/1026652653,13.128021,52.3928855,Die Bohne
node/1029298838,13.435551,52.532969,cafézinho espresso-bar
node/1057589896,13.4071784,52.535267,Haliflor
node/1059237503,13.465550499999999,52.553736,Strandbad Weissensee
node/1073362577,14.2635094,52.1045517,Zucker am Markt - Konditorei & Eiscafé
node/1074960875,13.3770007,52.5219239,Bistro im Haus der Bundespressekonferenz
node/1075397105,13.38456,52.5218537,Sag mir wo die Blumen sind
node/1077639186,13.4430425,52.5002405,Café Smyrna
node/1078275013,13.2459829,52.4158829,Café Elisabeth
node/1078763320,13.3490886,52.5227923,zwölf.uhr.mittags
node/1078763398,13.3491796,52.524139,coffeemamas
node/1078763413,13.3491981,52.5241967,Maxway Coffee
node/1078763421,13.3492903,52.5244316,moa
node/1078763424,13.3492197,52.5231319,cafépaci
node/1079444883,13.0106802,52.3650239,Café Cecile
node/1082694815,13.2560014,52.4289169,CoffEy
node/1086386187,12.8191565,52.528324,Cafe Erika
node/1092682874,13.4551574,52.5102108,Coffee & Breakfast
node/1104699440,13.1346787,52.3713569,Tchibo
node/1108199052,13.3097974,52.5023012,Maître Münch
node/1112868723,13.4300615,52.4784312,Amasya
node/1116215472,13.4661017,52.5118676,art.gerecht
node/1121340468,13.2794419,52.4797837,3gold
node/1126457748,13.575637799999999,52.444924,Mokkafee
node/1127766779,13.4001871,52.5655524,Café Paula
node/1127766843,13.4037971,52.5653802,Trivitys
node/1131533968,13.5269246,52.5092173,Coffeebar
node/1133787154,13.1974152,52.5237358,Rücker
node/1135716864,13.3708829,52.5645076,Café Goldzug
node/1137567654,13.3329289,52.4742961,Weinbeisser
node/1140719947,13.4268698,52.4955993,Regenbogenfabrik Soli-Café
node/1154259642,13.4262022,52.4923589,Sing Blackbird
node/1156532513,13.3249126,52.5094541,Café Hardenberg
node/1157372924,13.394497,52.569827,Kaffeehaus Rosengarten
node/1158236121,13.4104199,52.5384946,DÄRI Frozen Yogurt
node/1159055478,13.4245886,52.5282883,Melis Coffee
node/1165884601,13.428753,52.4869857,Schicha Habibi
node/1165969884,13.4264959,52.4986682,HayHay
node/1167205365,13.4347585,52.4995796,Trash No. 54
node/1168547241,14.359929,52.647234,Eiscafe Philip
